ID,order,TotalMLE,mle,pBurst_1,pExpl_1,sdAvgLastTime_1,avgLastTime_1
S1_1001,1,266.4556,62.0201,0.054795,0.1,0.324535,1.60375
S1_1001,2,266.4556,71.9213,0.04878,0.181818,0.227361,1.299722
S1_1001,3,266.4556,65.5007,0.044321,0.16,0.174868,1.169938
S1_1001,4,266.4556,67.0135,0.040404,0.133333,0.163831,1.01275
S1_1002,1,257.6529,75.2275,0.017878,0.030488,0.246531,1.441333
S1_1002,2,257.6529,52.795,0.022133,0.046875,0.424439,1.393909
S1_1002,3,257.6529,72.6838,0.02852,0.088889,0.253403,1.350688
S1_1002,4,257.6529,56.9466,0.023346,0.065574,0.152693,1.041083
S1_1004,1,256.3262,66.638,0.041344,0.083333,1.488598,2.279375
S1_1004,2,256.3262,65.1068,0.034803,0.051546,0.262519,1.374933
S1_1004,3,256.3262,68.9952,0.057143,0.25,0.411499,1.288944
S1_1004,4,256.3262,55.5862,0.080808,0.173913,0.126482,1.14
S1_1005,1,266.4209,63.6647,0.020093,0.034314,0.218686,1.690385
S1_1005,2,266.4209,66.6332,0.023026,0.048387,0.322712,1.3635
S1_1005,3,266.4209,62.1074,0.031674,0.068182,0.289165,1.473643
S1_1005,4,266.4209,74.0156,0.026273,0.043011,0.30974,1.44375
S1_1006,1,263.353,60.7296,0.059259,0.086957,0.712928,1.729
S1_1006,2,263.353,70.4517,0.03272,0.051282,0.442477,1.685625
S1_1006,3,263.353,59.928,0.026694,0.0625,0.322044,1.355692
S1_1006,4,263.353,72.2437,0.029304,0.053333,0.139841,1.064938
S1_1007,1,211.0504,58.5786,0.013142,0.028213,0.210295,1.306182
S1_1007,2,211.0504,51.0593,0.01634,0.044643,0.214416,1.1614
S1_1007,3,211.0504,55.1961,0.010834,0.028754,0.206908,1.0568
S1_1007,4,211.0504,46.2164,0.015873,0.060976,1.948443,2.068556
S1_1008,1,239.5366,50.2601,0.040404,0.070796,0.596742,1.724333
S1_1008,2,239.5366,73.099,0.020576,0.020661,0.298743,1.573933
S1_1008,3,239.5366,58.6496,0.029412,0.044118,0.403087,1.391385
S1_1008,4,239.5366,57.5279,0.03202,0.089744,0.185729,1.277462
S1_1009,1,250.9393,66.0626,0.023973,0.044643,0.63656,1.419071
S1_1009,2,250.9393,58.5165,0.020513,0.046243,0.232528,1.147333
S1_1009,3,250.9393,53.9417,0.019964,0.058065,0.136688,1.048909
S1_1009,4,250.9393,72.4185,0.021521,0.031646,0.130871,0.991533
