ID,order,TotalMLE,mle,pBurst_1,pBurst_2,pExpl_1,pExpl_2,threshold,sdAvgLastTime_1,sdAvgLastTime_2,avgLastTime_1,avgLastTime_2,avgPumps_1,avgPumps_2,sdPumps_1,sdPumps_2,nbCollected_1,nbCollected_2,gammaPlus,beta
S1_1001,1,265.8921,61.7637,0.090909,0.051852,0,0.1,2,0.231931,0.265573,2.12,1.53,10,12,1.414214,6.868513,2,14,1,0.17
S1_1001,2,265.8921,71.8953,0.053191,0.047273,0,0.181818,5,0.320043,0.172717,1.4264,1.251,17.8,16.733333,1.095445,6.953588,5,13,1,0.17
S1_1001,3,265.8921,65.3742,0.037313,0.048458,0.105263,0.333333,7,0.123533,0.193925,1.2244,1.145182,15.714286,16.153846,11.116269,7.470455,5,11,1,0.17
S1_1001,4,265.8921,66.8589,0.025,0.042135,0.153846,0.117647,3,NA,0.163484,1.176,1.001867,8.666667,19.058824,15.011107,7.24112,1,15,1,0.17
S1_1002,1,255.9325,74.2345,0.009772,0.022556,0.026316,0.083333,7,0.291815,0.238377,1.563,1.410917,21.714286,39.076923,27.57846,16.054395,3,12,1,0.17
S1_1002,2,255.9325,52.3652,0.016064,0.028226,0.031579,0.061856,7,0.583939,0.330446,1.534,1.313857,21.428571,11.076923,20.871489,11.063917,4,7,1,0.17
S1_1002,3,255.9325,72.5736,0.018868,0.029528,0.055556,0.111111,2,NA,0.249812,1.061,1.37,17,25.888889,24.041631,14.608172,1,15,1,0.17
S1_1002,4,255.9325,56.7592,0.013889,0.024887,0.04878,0.074074,3,NA,0.153821,1.176,1.028818,10,20.588235,17.320508,18.815083,1,11,1,0.17
S1_1004,1,251.5713,65.2967,0.032362,0.076923,0.065217,0.5,13,1.639069,0.238916,2.853,1.323333,19.461538,10,16.246104,6.733003,10,6,1,0.17
S1_1004,2,251.5713,63.2186,0.0625,0.023102,0.2,0.043478,9,0.252372,0.29207,1.3545,1.398286,12.777778,18.545455,8.058812,16.741348,8,7,1,0.17
S1_1004,3,251.5713,68.0078,0.040462,0.077465,0,0.25,7,0.492198,0.375541,1.324857,1.266091,23.714286,9.461538,6.421689,5.738981,7,11,1,0.17
S1_1004,4,251.5713,55.0482,0.035714,0.088235,0.142857,0.222222,3,NA,0.127673,1.245,1.133,4.333333,8.588235,7.505553,5.590828,1,15,1,0.17
S1_1005,1,263.1134,62.4562,0.012953,0.030651,0.030612,0.125,11,0.151782,0.214321,1.8308,1.602625,16.818182,27.222222,23.051326,10.883218,5,8,1,0.17
S1_1005,2,263.1134,66.1946,0.01626,0.027624,0.036585,0.071429,7,0.535279,0.123809,1.61575,1.2626,22.857143,23.846154,21.380899,14.993588,4,10,1,0.17
S1_1005,3,263.1134,60.8099,0.01992,0.04712,0.05814,0.5,10,0.407739,0.190343,1.604,1.401222,16,18,18.505255,8.3666,5,9,1,0.17
S1_1005,4,263.1134,73.6527,0.028195,0.012987,0.057143,0.034483,17,0.317409,NA,1.454667,1.28,28.352941,6,11.815991,10.392305,15,1,1,0.17
S1_1006,1,261.4748,60.1295,0.133333,0.054902,0,0.086957,2,0.146371,0.76236,1.8725,1.7085,6.5,10.833333,3.535534,6.617712,2,14,1,0.17
S1_1006,2,261.4748,70.0437,0.035294,0.015625,0.066667,0.030303,18,0.449004,NA,1.6638,2.013,20.277778,15,12.356497,21.213203,15,1,1,0.17
S1_1006,3,261.4748,59.5811,0.04878,0.024664,0.111111,0.058252,3,0.31042,0.325148,1.1595,1.391364,10,19.529412,9.539392,16.948885,2,11,1,0.17
S1_1006,4,261.4748,71.7205,0.0199,0.034783,0.045455,0.111111,7,0.183427,0.129946,1.10025,1.053167,18.714286,24.923077,19.396858,8.519209,4,12,1,0.17
S1_1007,1,208.8917,57.7708,0.011538,0.035088,0.028213,0,18,0.184694,0.385373,1.285667,1.3985,25.111111,27.5,27.520877,7.778175,9,2,1,0.17
S1_1007,2,208.8917,50.4847,0.012315,0.024272,0.041026,0.068966,13,0.094963,0.277551,1.078,1.2448,15.846154,24.571429,22.733405,17.849903,5,5,1,0.17
S1_1007,3,208.8917,54.7086,0.01875,0.009174,0,0.028754,3,0.294126,0.16131,0.942333,1.105857,52.333333,27.6875,16.772994,33.189795,3,7,1,0.17
S1_1007,4,208.8917,45.9276,0.012384,0.020492,0.05303,0.09375,11,0.138359,2.495989,1.203,2.761,17,25.875,24.714368,22.649109,4,5,1,0.17
S1_1008,1,233.7939,49.8541,0.019608,0.044715,0.078947,0.066667,4,NA,0.619031,1.445,1.749727,3,10,6,8.189424,1,11,1,0.17
S1_1008,2,233.7939,68.77,0.045455,0.009823,0.083333,0.017391,11,0.323184,0.277211,1.5822,1.5574,18,30.444444,8.854377,34.943208,10,5,1,0.17
S1_1008,3,233.7939,58.0088,0.025707,0.056604,0.044118,0,16,0.393744,0.129938,1.501,1.026,15.1875,16.666667,12.432317,5.773503,10,3,1,0.17
S1_1008,4,233.7939,57.161,0.038298,0.023392,0.096774,0.085106,12,0.120215,0.265343,1.222889,1.40025,16.25,15,11.740567,16.361977,9,4,1,0.17
S1_1009,1,249.4151,65.6562,0.04,0.021611,0,0.044643,3,0.962684,0.164729,2.326333,1.171636,24,24.125,6.082763,18.725651,3,11,1,0.17
S1_1009,2,249.4151,58.3451,0.02649,0.018433,0.066667,0.044304,5,0.270025,0.182606,1.3015,1.07025,26.4,17.866667,16.876018,17.719508,4,8,1,0.17
S1_1009,3,249.4151,53.4667,0.016588,0.031008,0.058065,0,16,0.072884,0.096493,1.130143,0.90675,16.25,31.25,19.594217,2.753785,7,4,1,0.17
S1_1009,4,249.4151,71.9471,0.023529,0.009804,0.033708,0.028986,17,0.131099,NA,1.000357,0.868,28.941176,10.666667,16.083651,18.475209,14,1,1,0.17
S1_1010,1,233.6306,50.6253,0.008065,0.028037,0.038889,0.029703,11,0.128474,0.222771,1.52375,1.446833,28.363636,11.888889,42.349198,9.466315,4,6,1,0.17
S1_1010,2,233.6306,57.1008,0.026866,0.052632,0.056604,0,15,0.101117,0.233313,1.256889,1.2855,14.666667,18,13.557637,5.416026,9,4,1,0.17
S1_1010,3,233.6306,57.7217,0.035556,0.055556,0.08,0,14,0.29739,0.325791,1.282625,1.223667,10.142857,17,9.781121,6.663332,8,6,1,0.17
S1_1010,4,233.6306,68.1828,0.019345,0.047619,0.03352,0,19,0.252951,NA,1.330462,1.032,25.263158,20,21.136703,NA,13,1,1,0.17
S1_1011,1,226.4534,58.041,0.018868,0.011532,0.117647,0.024055,6,0.066294,1.002774,1.35425,1.927143,31.833333,22.071429,27.396472,23.17978,4,7,1,0.17
S1_1011,2,226.4534,57.1723,0.010676,0.016913,0.024845,0.043478,7,0.445804,0.483253,1.605,1.553625,16.714286,26.923077,20.870348,22.354946,3,8,1,0.17
S1_1011,3,226.4534,45.6077,0.009091,0.018349,0.037037,0.048485,4,NA,0.418928,1.111,1.572375,7,16.4375,14,17.212278,1,8,1,0.17
S1_1011,4,226.4534,65.6324,0.015782,0.028571,0.031674,0,18,0.353606,0.04879,1.587273,1.1205,25.833333,34,21.890772,2.828427,11,2,1,0.17
S1_1012,1,244.7177,55.5159,0.021277,0.01,0.073529,0.028369,13,2.933469,1.070509,4.69075,2.229667,23.076923,22.285714,20.532338,27.867031,8,3,1,0.17
S1_1012,2,244.7177,77.6456,0.019231,0.013043,0,0.023697,6,1.444059,1.03482,3.108,2.419333,51,33.571429,5.899152,27.402174,6,9,1,0.17
S1_1012,3,244.7177,60.6504,0.014862,0.021097,0.056452,0.083333,14,1.589571,2.846945,2.678286,3.1694,24.285714,36.666667,26.075124,20.655911,7,5,1,0.17
S1_1012,4,244.7177,50.9058,0.010753,0.017408,0.037037,0.083333,3,NA,0.473978,2.246,1.591333,12.666667,24.235294,21.93931,24.26811,1,9,1,0.17
S1_1013,1,248.7513,62.882,0.117647,0.075472,1,0.1,3,0.313955,0.245532,1.504,1.055,4.666667,10.941176,4.50925,3.268612,2,16,1,0.17
S1_1013,2,248.7513,57.3804,0.064327,0.09434,0.1,0.333333,14,0.258433,0.231397,0.973182,0.9732,9.285714,7.5,5.426836,3.781534,11,5,1,0.17
S1_1013,3,248.7513,66.0142,0.071429,0.062016,0.25,0.142857,11,0.246186,0.100734,1.0253,0.951,11.454545,12.666667,3.984059,5.17204,10,8,1,0.17
S1_1013,4,248.7513,62.4747,0.051724,0.083333,0.125,0,18,0.188391,NA,0.920867,0.837,13.944444,11,6.716724,NA,15,1,1,0.17
S1_1014,1,241.4618,65.248,0.006536,0.019355,0.018182,0.045045,3,NA,0.210344,0.939,0.87575,14,29.235294,24.248711,20.209928,1,12,1,0.17
S1_1014,2,241.4618,59.7258,0.016484,0.020906,0.061856,0.066667,12,0.049731,0.077719,0.672,0.748833,21.75,38,22.835877,16.862186,6,6,1,0.17
S1_1014,3,241.4618,63.8743,0.011952,0.022989,0.054688,0,10,0.468104,0.086777,0.966667,0.636,12,42.5,19.362048,6.770032,3,10,1,0.17
S1_1014,4,241.4618,52.6137,0.017544,0.012048,0.022727,0.041096,5,0.072633,0.080705,0.60425,0.559833,36,18.2,20.530465,23.266162,4,6,1,0.17
S1_1015,1,239.9224,65.7904,0.010791,0.019608,0.019048,0.04717,5,2.276529,0.447568,4.087333,1.5118,34,26.266667,34.351128,21.191193,3,10,1,0.17
