ID,order,mle,beta,gammaPlus,a0,m0,pBurst_1,pBurst_2,threshold
S1_1001,1,45.381,0.388,4.702,228174.944,1000000.000,0.22817494,0.22817494,5
S1_1002,1,60.232,0.104,4.8,64530.397,1000000.000,0.06453040,0.06453040,6
S1_1004,1,64.092,0.048,0.096,946.535,938028.633,0.00100907,0.00100907,7
S1_1005,1,55.32,0.093,0.06,362.268,599675.218,0.00060411,0.00060411,8
S1_1006,1,51.903,0.234,4.819,203043.239,1000000.000,0.20304324,0.20304324,9
S1_1007,1,47.704,0.103,0.103,781.737,764731.694,0.00102224,0.00102224,10
S1_1008,1,45.933,0.132,2.564,71717.322,1000000.000,0.07171732,0.07171732,11
S1_1009,1,54.99,0.116,4.312,73115.433,1000000.000,0.07311543,0.07311543,12
S1_1010,1,49.25,0.031,0.242,789.283,719832.520,0.00109648,0.00109648,13
S1_1011,1,53.846,0.04,5,30710.321,894237.093,0.03434248,0.03434248,14
S1_1012,1,47.933,0.078,4.741,55370.208,1000000.000,0.05537021,0.05537021,15
S1_1013,1,45.813,0.526,4.937,321327.761,999999.996,0.32132776,0.32132776,16
S1_1014,1,52.812,0.112,1.45,1340.943,73457.680,0.01825463,0.01825463,17
S1_1015,1,59.22,0.057,0.274,2182.493,927413.518,0.00235331,0.00235331,18
S1_1016,1,41.545,0.091,4.999,752.427,17137.244,0.04390595,0.04390595,19
S1_1017,1,59.346,0.09,0.2,2257.755,729427.833,0.00309524,0.00309524,20
S2_100,1,43.405,0.056,0.089,697.785,999932.571,0.00069783,0.00069783,21
S2_101,1,61.77,0.041,5,35706.684,994195.133,0.03591517,0.03591517,22
S2_102,1,46.607,0.013,5,9906.882,697039.767,0.01421279,0.01421279,23
S2_103,1,23.925,0.073,0.737,309.697,52018.647,0.00595358,0.00595358,24
S2_104,1,53.633,0.126,0.221,2552.081,790870.063,0.00322693,0.00322693,25
S2_105,1,39.764,0.095,3.201,24569.031,677811.296,0.03624760,0.03624760,26
S2_106,1,44.555,0.098,0.563,4215.099,463072.351,0.00910246,0.00910246,27
S2_107,1,30.818,0.109,4.987,53568.499,999999.822,0.05356851,0.05356851,28
S2_108,1,7.427,0.001,5,1069.971,999996.434,0.00106997,0.00106997,29
S2_110,1,45.006,0.058,0.233,1446.318,988240.881,0.00146353,0.00146353,30
S2_111,1,42.768,0.051,5,54406.047,999119.737,0.05445398,0.05445398,31
S2_112,1,70.381,0.034,4.606,34180.052,1000000.000,0.03418005,0.03418005,32
S2_113a,1,53.963,0.227,5,210353.395,999998.550,0.21035370,0.21035370,33
S2_113b,1,41.311,0.254,4.902,137449.998,1000000.000,0.13745000,0.13745000,34
S2_114,1,44.786,0.194,5,152328.084,921454.547,0.16531264,0.16531264,35
S2_115,1,59.975,0.017,1.274,4606.747,1000000.000,0.00460675,0.00460675,36
S2_116,1,28.264,0.087,5,88488.407,999999.999,0.08848841,0.08848841,37
S2_117,1,46.625,0.036,5,31258.541,998485.171,0.03130596,0.03130596,38
S2_118,1,39.078,0.095,5,50785.900,864044.544,0.05877695,0.05877695,39
S2_119,1,63.242,0.019,5,26031.959,988735.797,0.02632853,0.02632853,40
S2_120,1,41.793,0.157,4.998,68753.886,1000000.000,0.06875389,0.06875389,41
S2_121,1,57.371,0.075,1.679,15363.538,877705.571,0.01750420,0.01750420,42
S2_123,1,63.282,0.015,5,17319.542,999999.322,0.01731955,0.01731955,43
S2_124,1,42.926,0.141,0.206,2641.220,794470.614,0.00332450,0.00332450,44
S2_125,1,6.501,0.046,3.374,19738.423,1000000.000,0.01973842,0.01973842,45
S2_126,1,43.944,0.137,0.24,2508.949,696753.837,0.00360091,0.00360091,46
S2_200,1,53.873,0.015,4.992,15126.992,999999.994,0.01512699,0.01512699,47
S2_201,1,58.891,0.089,0.349,5016.785,556201.632,0.00901972,0.00901972,48
S2_202,1,38.168,0.079,0.087,323.331,511353.461,0.00063230,0.00063230,49
S2_203,1,56.013,0.088,0.558,1687.385,259663.658,0.00649835,0.00649835,50
S2_204,1,52.025,0.114,4.949,106633.290,1000000.000,0.10663329,0.10663329,51
S2_205,1,51.809,0.079,1.427,18651.175,999925.298,0.01865257,0.01865257,52
S2_206,1,71.072,0.027,5,39147.440,997010.820,0.03926481,0.03926481,53
S2_207,1,62.166,0.068,5,42250.800,776438.196,0.05441618,0.05441618,54
S2_208,1,34.022,0.076,0.146,1316.310,977838.717,0.00134614,0.00134614,55
S2_209,1,55.374,0.029,4.872,27473.047,999999.973,0.02747305,0.02747305,56
S2_210,1,57.187,0.116,5,126747.268,999348.897,0.12682985,0.12682985,57
S2_211,1,46.206,0.427,0.098,3370.956,993984.245,0.00339136,0.00339136,58
S2_212,1,64.179,0.014,4.989,18130.702,999922.333,0.01813211,0.01813211,59
S2_213,1,22.494,0.182,3.898,84708.822,1000000.000,0.08470882,0.08470882,60
S2_214,1,47.671,0.008,0.876,390.310,323771.149,0.00120551,0.00120551,61
S2_215,1,5.959,0.001,4.985,755.685,756274.989,0.00099922,0.00099922,62
S2_216,1,36.49,0.043,0.112,369.992,601750.506,0.00061486,0.00061486,63
S2_217,1,39.481,0.287,3.079,118786.555,999764.049,0.11881459,0.11881459,64
S2_219,1,52.43,0.012,0.897,2085.475,999408.733,0.00208671,0.00208671,65
S2_220,1,60.665,0.054,5,54073.075,995048.001,0.05434218,0.05434218,66
S2_221,1,49.499,0.046,5,33302.805,997453.143,0.03338784,0.03338784,67
S2_222,1,58.238,0.166,0.018,404.610,998369.012,0.00040527,0.00040527,68
S2_223,1,48.942,0.032,0.4,1334.839,604439.039,0.00220839,0.00220839,69
S2_224,1,53.739,0.104,0.25,1289.424,452778.393,0.00284780,0.00284780,70
S2_225,1,64.036,0.024,5,38338.889,991316.253,0.03867473,0.03867473,71
S2_226,1,50.945,0.121,0.053,528.037,738279.519,0.00071523,0.00071523,72
S2_227,1,54.889,0.049,4.963,38404.756,1000000.000,0.03840476,0.03840476,73
S2_229,1,61.402,0.028,5,29100.540,965923.918,0.03012716,0.03012716,74
S2_230,1,43.253,0.125,0.113,1841.468,993850.152,0.00185286,0.00185286,75
S2_231,1,45.674,0.077,2.375,22716.275,999999.939,0.02271628,0.02271628,76
S2_232,1,46.675,0.059,1.382,1140.382,105094.642,0.01085100,0.01085100,77
S2_233,1,41.873,0.078,0.18,1591.677,930087.766,0.00171132,0.00171132,78
S2_300,1,51.911,0.045,0.275,1053.138,469086.284,0.00224508,0.00224508,79
S2_301,1,35.004,0.004,5,5283.613,993247.334,0.00531953,0.00531953,80
S2_302,1,41.047,0.131,0.068,571.475,700983.689,0.00081525,0.00081525,81
S2_303,1,8.115,0.01,4.968,6827.333,999987.197,0.00682742,0.00682742,82
S2_304,1,48.995,0.015,4.962,14202.835,1000000.000,0.01420284,0.01420284,83
S2_305,1,30.369,0.434,0.005,323.342,688434.206,0.00046968,0.00046968,84
S2_306,1,55.841,0.038,5,30977.242,984516.492,0.03146442,0.03146442,85
S2_307,1,38.065,0.055,0.101,295.112,436749.294,0.00067570,0.00067570,86
S2_308,1,57.299,0.101,5,68555.115,999999.448,0.06855515,0.06855515,87
S2_309,1,48.157,0.047,0.546,3607.425,999786.272,0.00360820,0.00360820,88
S2_310,1,41.915,0.108,5,97422.883,999999.735,0.09742291,0.09742291,89
S2_311,1,52.882,0.029,4.997,30326.706,998168.648,0.03038235,0.03038235,90
S2_312,1,45.7,0.058,4.986,65610.598,998313.553,0.06572143,0.06572143,91
S2_313,1,47.026,0.244,0.451,17304.189,930013.530,0.01860638,0.01860638,92
S2_314,1,55.623,0.054,4.618,42450.389,999739.011,0.04246147,0.04246147,93
S2_315,1,43.138,0.183,5,88021.279,914728.784,0.09622664,0.09622664,94
S2_316,1,51.695,0.009,0.708,119.399,44902.820,0.00265905,0.00265905,95
S2_317,1,52.976,0.005,1.388,1527.624,991787.454,0.00154027,0.00154027,96
S2_318,1,62.252,0.074,3.775,620.388,13244.560,0.04684097,0.04684097,97
S2_319,1,53.267,0.137,5,173083.806,999999.457,0.17308390,0.17308390,98
S2_320,1,54.848,0.061,0.029,263.381,971031.037,0.00027124,0.00027124,99
S2_321,1,46.038,0.052,0.435,2173.340,719844.207,0.00301918,0.00301918,100
S2_322,1,54.06,0.038,0.521,3143.184,942921.640,0.00333345,0.00333345,101
S2_323,1,41.59,0.002,5,2700.488,994753.009,0.00271473,0.00271473,102
S2_324,1,34.85,0.067,4.814,55452.037,1000000.000,0.05545204,0.05545204,103
S2_325,1,51.901,0.049,4.901,53541.658,1000000.000,0.05354166,0.05354166,104
S2_400,1,41.511,0.131,0.01,406.219,814385.129,0.00049880,0.00049880,105
S2_401,1,47.906,0.049,5,45350.346,999571.929,0.04536977,0.04536977,106
S2_402,1,39.432,0.007,3.268,4904.867,999993.219,0.00490490,0.00490490,107
S2_403,1,50.786,0.093,2.621,9648.610,280955.523,0.03434213,0.03434213,108
S2_404,1,59.8,0.056,4.999,43618.131,998687.759,0.04367544,0.04367544,109
S2_405,1,59.414,0.064,5,50098.726,979212.262,0.05116227,0.05116227,110
S2_406,1,55.538,0.056,0.053,369.919,684017.481,0.00054080,0.00054080,111
S2_407,1,30.263,0.103,5,60590.106,999999.997,0.06059011,0.06059011,112
S2_408,1,71.313,0.054,5,45497.144,999942.770,0.04549975,0.04549975,113
S2_409,1,48.617,0.002,5,5276.074,999144.668,0.00528059,0.00528059,114
S2_410,1,48.431,0.077,0.203,2189.902,978750.818,0.00223745,0.00223745,115
S2_411,1,49.134,0.031,5,23601.475,931028.980,0.02534988,0.02534988,116
S2_412,1,47.038,0.342,0.034,2723.804,859664.398,0.00316845,0.00316845,117
S2_413,1,32.376,0.285,5,108086.083,989015.002,0.10928660,0.10928660,118
S2_414,1,27.453,0.008,2.35,1771.359,397031.088,0.00446151,0.00446151,119
S2_415,1,26.426,0.009,5,9602.994,952308.779,0.01008391,0.01008391,120
